character_id;player_id;name;class
3;100;Александр;Маг
4;101;Анна;Лучник
2;102;Борис;Воин
1;103;Виктория;Человек
1;104;Григорий;Человек
1;105;Дарья;Человек
2;106;Евгений;Воин
4;107;Жанна;Лучник
3;108;Захар;Маг
2;109;Ирина;Воин
1;110;Кирилл;Человек
4;111;Лидия;Лучник
1;112;Максим;Человек
1;113;Наталья;Человек
3;114;Олег;Маг
4;115;Полина;Лучник
1;116;Роман;Человек
3;117;Светлана;Маг
3;118;Тимур;Маг
2;119;Ульяна;Воин
4;120;Фёдор;Лучник
4;121;Хиба;Лучник
4;122;Эдуард;Лучник
3;123;Юлия;Маг
3;124;Ярослав;Маг
1;125;Амелия;Человек
3;126;Богдан;Маг
4;127;Василиса;Лучник
4;128;Герман;Лучник
4;129;Диана;Лучник
2;130;Елисей;Воин
3;131;Злата;Маг
1;132;Иван;Человек
2;133;Карина;Воин
4;134;Лев;Лучник
2;135;Майя;Воин
2;136;Никита;Воин
3;137;Оксана;Маг
4;138;Павел;Лучник
3;139;Раиса;Маг
1;140;Семён;Человек
4;141;Тамара;Лучник
4;142;Умар;Лучник
4;143;Фаина;Лучник
1;144;Харитон;Человек
2;145;Ярослава;Воин
4;146;Азат;Лучник
3;147;Беатриса;Маг
3;148;Владлен;Маг
3;149;Галина;Маг
1;150;Даниил;Человек
1;151;Елизавета;Человек
4;152;Жанна-Мария;Лучник
3;153;Захаррия;Маг
2;154;Инга;Воин
1;155;Карина-Мария;Человек
1;156;Леонид;Человек
2;157;Мирослава;Воин
3;158;Назар;Маг
3;159;Олеся;Маг
4;160;Платон;Лучник
4;161;Регина;Лучник
3;162;Святозар;Маг
2;163;Таисия;Воин
4;164;Ульяна-Мария;Лучник
2;165;Фатима;Воин
2;166;Христофор;Воин
3;167;Ясмина;Маг
3;168;Ариана;Маг
2;169;Бронислав;Воин
4;170;Василиса-Мария;Лучник
1;171;Германна;Человек
2;172;Диана-София;Воин
1;173;Евгения;Человек
4;174;Захар-Имаад;Лучник
1;175;Имаад;Человек
3;176;Карина-София;Маг
4;177;Лев-Александр;Лучник
1;178;Майя-София;Человек
4;179;Ника;Лучник
4;180;Оксана-Мария;Лучник
